meeting,dir,from,to,raw_count,weight_raw,weight_split,edge_key
#104,out,RAN,CT (dst),2,2.0,0.166667,out|||RAN|||CT (dst)
#104,out,RAN,CT1 (dst),2,2.0,0.166667,out|||RAN|||CT1 (dst)
#104,out,RAN,CT3 (dst),2,2.0,0.166667,out|||RAN|||CT3 (dst)
#104,out,RAN,CT4 (dst),2,2.0,0.166667,out|||RAN|||CT4 (dst)
#104,out,RAN,CT6 (dst),2,2.0,0.166667,out|||RAN|||CT6 (dst)
#104,out,RAN,SA (dst),4,4.0,2.166667,out|||RAN|||SA (dst)
#104,out,RAN,SA1 (dst),2,2.0,0.166667,out|||RAN|||SA1 (dst)
#104,out,RAN,SA2 (dst),6,6.0,4.166667,out|||RAN|||SA2 (dst)
#104,out,RAN,SA3 (dst),2,2.0,0.166667,out|||RAN|||SA3 (dst)
#104,out,RAN,SA4 (dst),2,2.0,0.166667,out|||RAN|||SA4 (dst)
#104,out,RAN,SA5 (dst),2,2.0,0.166667,out|||RAN|||SA5 (dst)
#104,out,RAN,SA6 (dst),2,2.0,0.166667,out|||RAN|||SA6 (dst)
#105,in,5G-MAG WG CD (src),RAN,1,1.0,1.0,in|||5G-MAG WG CD (src)|||RAN
#105,in,IALA (src),RAN,1,1.0,1.0,in|||IALA (src)|||RAN
#105,in,ITU-T SG13 (src),RAN,1,1.0,1.0,in|||ITU-T SG13 (src)|||RAN
#105,in,ITU-T SG20 (src),RAN,1,1.0,1.0,in|||ITU-T SG20 (src)|||RAN
#105,in,LPTVBA (src),RAN,1,1.0,1.0,in|||LPTVBA (src)|||RAN
#105,in,RAN4 (src),RAN,3,3.0,3.0,in|||RAN4 (src)|||RAN
#105,in,SA2 (src),RAN,1,1.0,1.0,in|||SA2 (src)|||RAN
#105,in,SA5 (src),RAN,1,1.0,1.0,in|||SA5 (src)|||RAN
#105,out,RAN,SA (dst),4,4.0,1.75,out|||RAN|||SA (dst)
#105,out,RAN,SA2 (dst),3,3.0,0.75,out|||RAN|||SA2 (dst)
#105,out,RAN,SA3 (dst),3,3.0,0.75,out|||RAN|||SA3 (dst)
#105,out,RAN,SA5 (dst),3,3.0,0.75,out|||RAN|||SA5 (dst)
#106,in,3GPP RAN ITU-R AH (src),RAN,5,5.0,5.0,in|||3GPP RAN ITU-R AH (src)|||RAN
#106,in,APT Wireless Group (AWG) (src),RAN,1,1.0,1.0,in|||APT Wireless Group (AWG) (src)|||RAN
#106,in,ETSI TC MSG TFES (src),RAN,2,2.0,2.0,in|||ETSI TC MSG TFES (src)|||RAN
#106,in,ITU-R WP4B (src),RAN,2,2.0,2.0,in|||ITU-R WP4B (src)|||RAN
#106,in,ITU-R WP5D (src),RAN,3,3.0,3.0,in|||ITU-R WP5D (src)|||RAN
#106,in,NGMN (src),RAN,2,2.0,2.0,in|||NGMN (src)|||RAN
#106,in,O-RAN SDFG (src),RAN,1,1.0,1.0,in|||O-RAN SDFG (src)|||RAN
#106,in,RAN2 (src),RAN,2,2.0,2.0,in|||RAN2 (src)|||RAN
#106,in,RAN3 (src),RAN,3,3.0,3.0,in|||RAN3 (src)|||RAN
#106,in,RAN4 (src),RAN,5,5.0,5.0,in|||RAN4 (src)|||RAN
#106,in,SA (src),RAN,1,1.0,1.0,in|||SA (src)|||RAN
#106,in,SA1 (src),RAN,1,1.0,1.0,in|||SA1 (src)|||RAN
#106,in,SA2 (src),RAN,5,5.0,5.0,in|||SA2 (src)|||RAN
#106,in,SA3 (src),RAN,1,1.0,1.0,in|||SA3 (src)|||RAN
#106,in,SA5 (src),RAN,4,4.0,4.0,in|||SA5 (src)|||RAN
#106,out,RAN,O-RAN SDFG (dst),1,1.0,1.0,out|||RAN|||O-RAN SDFG (dst)
#106,out,RAN,RAN2 (dst),1,1.0,1.0,out|||RAN|||RAN2 (dst)
#106,out,RAN,RAN5 (dst),3,3.0,3.0,out|||RAN|||RAN5 (dst)
#106,out,RAN,SA (dst),13,13.0,11.666667,out|||RAN|||SA (dst)
#106,out,RAN,SA2 (dst),2,2.0,0.666667,out|||RAN|||SA2 (dst)
#106,out,RAN,SA5 (dst),2,2.0,0.666667,out|||RAN|||SA5 (dst)
#107,in,3GPP ITU-R AH (src),RAN,1,1.0,1.0,in|||3GPP ITU-R AH (src)|||RAN
#107,in,ESA (src),RAN,1,1.0,1.0,in|||ESA (src)|||RAN
#107,in,ETSI ISG ISAC (src),RAN,1,1.0,1.0,in|||ETSI ISG ISAC (src)|||RAN
#107,in,ETSI ISG MAT (src),RAN,1,1.0,1.0,in|||ETSI ISG MAT (src)|||RAN
#107,in,ETSI ISG RIS (src),RAN,1,1.0,1.0,in|||ETSI ISG RIS (src)|||RAN
#107,in,ETSI ISG THz (src),RAN,1,1.0,1.0,in|||ETSI ISG THz (src)|||RAN
#107,in,GSOA (src),RAN,1,1.0,1.0,in|||GSOA (src)|||RAN
#107,in,ITU-R WP5C (src),RAN,1,1.0,1.0,in|||ITU-R WP5C (src)|||RAN
#107,in,ITU-R WP5D (src),RAN,4,4.0,4.0,in|||ITU-R WP5D (src)|||RAN
#107,in,ITU-T JCA IMT-2020 (src),RAN,1,1.0,1.0,in|||ITU-T JCA IMT-2020 (src)|||RAN
#107,in,ITU-T SG20 (src),RAN,2,2.0,2.0,in|||ITU-T SG20 (src)|||RAN
#107,in,NGMN (src),RAN,3,3.0,3.0,in|||NGMN (src)|||RAN
#107,in,RAN1 (src),RAN,2,2.0,2.0,in|||RAN1 (src)|||RAN
#107,in,RAN2 (src),RAN,1,1.0,1.0,in|||RAN2 (src)|||RAN
#107,in,RAN3 (src),RAN,1,1.0,1.0,in|||RAN3 (src)|||RAN
#107,in,RAN4 (src),RAN,1,1.0,1.0,in|||RAN4 (src)|||RAN
#107,in,SA5 (src),RAN,2,2.0,2.0,in|||SA5 (src)|||RAN
#107,out,RAN,ITU-R WP 5D (dst),1,1.0,1.0,out|||RAN|||ITU-R WP 5D (dst)
#107,out,RAN,RAN3 (dst),2,2.0,2.0,out|||RAN|||RAN3 (dst)
#107,out,RAN,SA (dst),1,1.0,1.0,out|||RAN|||SA (dst)
#108,in,5GAA WG4 (src),RAN,1,1.0,1.0,in|||5GAA WG4 (src)|||RAN
#108,in,APT WG (src),RAN,1,1.0,1.0,in|||APT WG (src)|||RAN
#108,in,ETSI TC ITS (src),RAN,1,1.0,1.0,in|||ETSI TC ITS (src)|||RAN
#108,in,"Future Mobile Communication Forum, China (src)",RAN,1,1.0,1.0,"in|||Future Mobile Communication Forum, China (src)|||RAN"
#108,in,ITU-R WP4B (src),RAN,1,1.0,1.0,in|||ITU-R WP4B (src)|||RAN
#108,in,ITU-T SG13 (src),RAN,1,1.0,1.0,in|||ITU-T SG13 (src)|||RAN
#108,in,NGMN (src),RAN,1,1.0,1.0,in|||NGMN (src)|||RAN
#108,in,O-RAN (src),RAN,1,1.0,1.0,in|||O-RAN (src)|||RAN
#108,in,RAN2 (src),RAN,2,2.0,2.0,in|||RAN2 (src)|||RAN
#108,in,RAN3 (src),RAN,1,1.0,1.0,in|||RAN3 (src)|||RAN
#108,in,RAN4 (src),RAN,2,2.0,2.0,in|||RAN4 (src)|||RAN
#108,in,SA2 (src),RAN,4,4.0,4.0,in|||SA2 (src)|||RAN
#108,in,SA3 (src),RAN,1,1.0,1.0,in|||SA3 (src)|||RAN
#108,out,RAN,CT (dst),2,2.0,0.333333,out|||RAN|||CT (dst)
#108,out,RAN,CT1 (dst),2,2.0,0.333333,out|||RAN|||CT1 (dst)
#108,out,RAN,ITU-R WP5D (dst),2,2.0,2.0,out|||RAN|||ITU-R WP5D (dst)
#108,out,RAN,PCG (dst),2,2.0,1.0,out|||RAN|||PCG (dst)
